N,P,K,temperature,humidity,ph,rainfall,label
89,55,42,21,84,7.172580965,252,rice
73,58,37,20,81,6.365648576,202,rice
63,45,41,25,82,7.129330472,230,rice
71,49,38,20,83,6.681569025,253,rice
62,59,36,23,85,6.974788416,277,rice
85,53,35,22,84,6.284447701,197,rice
61,54,37,27,84,5.89650051,192,rice
62,41,36,25,80,6.479437247,249,rice
82,47,44,26,85,6.69882348,228,rice
70,58,38,27,81,6.245543888,289,rice
82,50,42,22,82,6.396147193,297,rice
76,54,35,20,82,5.601905526,275,rice
82,44,42,25,81,7.259128425,250,rice
85,47,44,25,81,7.432567504,277,rice
77,54,37,26,80,6.553853177,250,rice
86,44,38,20,83,6.448986198,254,rice
96,55,44,22,80,6.926979502,247,rice
85,45,36,20,82,7.239942285,217,rice
78,58,39,24,82,5.540950309,246,rice
79,37,41,20,81,6.717413342,281,rice
80,57,36,20,81,5.658732272,216,rice
72,37,41,26,81,7.338551358,278,rice
67,57,44,24,84,6.405935615,189,rice
90,54,36,21,81,7.171113011,187,rice
96,56,41,23,80,6.142827207,212,rice
96,35,45,23,85,7.24581443,230,rice
64,57,43,23,85,7.078331296,212,rice
90,49,35,23,83,7.291136066,208,rice
85,49,37,26,81,7.154272013,271,rice
99,52,38,23,84,6.181601492,191,rice
93,35,42,21,84,6.14587063,191,rice
87,41,42,20,83,6.435551465,293,rice
91,56,35,26,85,6.359797147,184,rice
90,58,45,25,85,6.644070487,263,rice
69,59,40,24,83,6.777757206,299,rice
65,56,41,21,80,6.813896335,260,rice
66,37,45,20,84,6.496979647,266,rice
84,50,39,23,80,6.471925968,292,rice
72,41,42,27,83,5.883001665,209,rice
90,59,35,20,81,5.934936571,200,rice
92,55,39,21,83,5.771655902,254,rice
72,52,40,23,80,5.90031075,256,rice
84,59,40,20,83,5.818510053,211,rice
89,53,36,25,80,6.411820416,274,rice
79,45,43,21,83,6.005538546,273,rice
92,46,36,26,85,5.899394233,216,rice
79,57,38,24,81,5.837099357,210,rice
81,46,40,23,85,6.236920632,269,rice
86,45,45,21,83,6.384383726,218,rice
66,55,42,26,82,7.006275111,221,rice
65,39,42,25,82,5.598773437,241,rice
95,38,37,27,80,5.795343687,249,rice
97,47,35,21,80,7.462162578,200,rice
94,35,40,25,85,6.866370183,253,rice
81,38,41,21,80,6.139106379,225,rice
94,48,41,26,83,6.173887721,222,rice
64,49,39,21,82,6.822888554,291,rice
84,60,41,24,84,6.072224583,297,rice
84,58,36,26,85,6.130450782,239,rice
71,55,44,20,80,6.25688618,287,rice
89,57,42,24,85,7.413786437,184,rice
74,37,38,22,83,7.354251547,294,rice
72,51,41,20,83,7.446628057,204,rice
62,41,43,25,81,7.385880422,248,rice
100,47,41,23,80,6.699715835,213,rice
95,41,39,26,82,6.251180292,189,rice
90,56,35,23,80,6.531173313,209,rice
92,49,45,27,84,6.609579359,250,rice
62,58,43,25,80,6.598571137,228,rice
94,50,41,22,82,5.849012697,182,rice
89,56,35,26,84,6.373830281,238,rice
86,45,44,24,80,5.685702265,200,rice
86,58,38,23,84,7.030810891,229,rice
61,42,39,23,80,5.726413665,284,rice
94,50,43,27,83,6.996323416,260,rice
65,56,38,26,81,6.790004626,240,rice
100,56,42,21,82,5.873636816,289,rice
73,41,43,24,83,5.865093622,261,rice
85,36,38,23,85,6.564035474,274,rice
66,48,39,26,83,6.241135683,292,rice
92,42,42,21,84,6.194203357,248,rice
99,54,45,23,83,6.842745293,289,rice
95,37,38,23,81,5.806125644,220,rice
88,52,37,22,82,7.314974046,261,rice
70,35,36,22,83,6.817748868,185,rice
78,52,44,26,84,5.968553779,227,rice
73,38,42,23,85,5.693647298,189,rice
60,59,44,21,81,6.784364943,202,rice
83,58,41,25,81,6.279432905,212,rice
88,47,44,23,84,6.589139322,243,rice
64,52,36,27,83,6.737824163,297,rice
81,39,35,23,81,7.352804044,224,rice
61,56,35,25,82,6.151782166,183,rice
89,45,39,20,83,6.952629953,218,rice
68,36,36,20,84,6.567114979,231,rice
81,51,44,22,83,6.586728552,297,rice
84,38,35,27,83,6.871347714,205,rice
92,46,35,27,84,5.813557659,206,rice
73,59,37,27,82,6.45560933,186,rice
84,48,40,25,84,7.184017381,237,rice
72,45,43,25,85,6.25957071,232,rice
96,52,39,20,80,6.04607254,300,rice
82,56,35,26,85,7.453144706,281,rice
81,38,39,22,82,5.564065865,271,rice
60,37,43,21,85,5.609917459,232,rice
86,41,40,24,81,6.387864738,224,rice
69,41,43,20,85,5.950022629,253,rice
74,59,37,26,82,7.213160292,228,rice
60,49,39,20,84,6.299706204,238,rice
92,38,37,25,84,6.668126778,242,rice
65,46,39,26,85,6.156141863,204,rice
91,46,40,26,84,5.927190043,258,rice
81,56,42,22,84,7.363989726,189,rice
78,47,44,21,80,7.240817548,289,rice
77,59,43,24,82,6.486357002,188,rice
61,41,42,25,81,6.295134722,246,rice
62,40,36,25,83,5.923619741,208,rice
86,39,44,22,84,6.828428611,184,rice
72,49,41,20,85,6.306881364,201,rice
62,57,38,27,85,7.083879653,216,rice
99,54,36,25,85,5.658622976,209,rice
78,42,43,21,82,6.125145361,236,rice
69,57,37,26,83,6.897719797,277,rice
83,48,45,27,84,6.481530617,297,rice
88,45,41,21,82,7.054501143,204,rice
86,46,39,27,81,7.202898602,290,rice
84,48,35,21,80,6.41384224,213,rice
69,42,40,23,82,6.494531126,192,rice
73,44,35,24,81,5.752143729,225,rice
70,38,37,27,81,6.926103181,194,rice
79,36,43,25,81,7.462899008,287,rice
60,57,39,24,85,6.393367218,287,rice
77,41,39,27,81,6.053521559,241,rice
75,59,39,21,82,7.498802037,185,rice
90,38,41,27,83,6.735324746,206,rice
65,35,44,25,85,7.003704351,288,rice
68,44,40,21,80,6.680516699,243,rice
65,40,38,22,84,5.603540471,298,rice
84,50,39,24,82,6.561410018,280,rice
74,40,43,21,85,5.563825478,217,rice
69,42,35,23,85,7.083356611,246,rice
70,54,44,27,85,6.530232336,214,rice
71,49,37,20,81,6.99086355,204,rice
67,36,36,26,80,5.98737617,243,rice
95,58,36,23,80,6.654936528,261,rice
81,57,44,23,82,7.193495913,231,rice
94,48,37,20,85,6.118602283,253,rice
93,56,44,27,80,6.268281996,249,rice
67,57,42,26,83,6.521040409,214,rice
82,53,36,24,80,6.522804254,250,rice
95,48,44,22,83,5.744842364,208,rice
72,60,41,27,80,7.252956947,197,rice
98,57,38,24,84,6.924058307,227,rice
64,48,44,23,84,6.442125234,261,rice
88,59,39,25,81,6.101201557,211,rice
67,46,37,27,85,7.463640155,211,rice
78,47,39,21,85,6.834965828,231,rice
75,49,35,23,81,6.991385225,220,rice
76,35,40,20,85,6.128266665,220,rice
72,39,38,24,83,5.734656368,261,rice
66,38,38,26,85,6.630613558,218,rice
92,57,36,20,84,6.126652731,271,rice
66,52,40,27,80,6.175261784,184,rice
99,35,40,24,83,7.053396584,242,rice
88,52,36,23,84,5.949425459,279,rice
80,50,36,27,85,6.977110019,254,rice
88,57,41,27,80,7.173864943,234,rice
100,51,43,27,84,5.657697367,264,rice
93,49,40,21,80,5.953667822,278,rice
98,59,42,25,81,5.827583692,257,rice
79,44,35,20,82,7.019943262,291,rice
73,39,41,20,80,7.033792927,259,rice
72,36,36,24,81,6.933282312,193,rice
98,36,36,26,82,5.574562352,244,rice
88,49,40,23,81,6.424589553,210,rice
67,46,39,22,84,5.974080285,264,rice
66,52,45,27,83,6.903875287,199,rice
68,44,36,27,83,6.391963535,198,rice
79,56,41,24,85,7.344070485,238,rice
61,46,43,24,80,6.114731094,291,rice
73,35,43,20,85,7.03135124,272,rice
88,52,39,24,80,7.078329057,272,rice
89,59,45,21,84,6.955428736,241,rice
89,44,45,25,82,6.863332598,197,rice
79,37,35,27,80,5.821178074,250,rice
70,56,37,26,82,7.103773866,243,rice
67,46,43,25,84,6.834616946,272,rice
88,50,35,27,82,5.873047027,294,rice
84,53,35,25,85,5.603257795,255,rice
100,52,43,20,83,6.84414992,246,rice
64,40,43,22,84,6.303873015,221,rice
99,52,38,25,81,6.751255911,286,rice
68,48,36,27,81,7.15991503,253,rice
96,41,43,27,84,6.557035407,211,rice
76,60,36,25,82,5.851772659,272,rice
98,46,43,21,82,7.233557741,220,rice
80,52,44,21,83,6.326564789,201,rice
80,54,39,20,83,6.432562203,246,rice
66,60,38,23,81,7.431327819,196,rice
72,37,42,27,83,5.60606269,257,rice
94,51,35,25,83,6.97739078,278,rice
73,40,45,20,85,6.243127696,285,rice
97,41,36,27,81,6.644933423,242,rice
75,51,38,22,81,5.878913128,189,rice
68,47,35,24,80,5.964578725,210,rice
85,41,43,27,81,6.030219957,230,rice
92,54,43,21,85,6.83229403,265,rice
69,40,45,26,83,7.334757825,260,rice
88,50,39,26,83,6.87502799,226,rice
100,51,39,24,82,6.461984835,271,rice
96,36,37,20,80,7.238196209,186,rice
89,49,38,20,85,5.520846116,268,rice
78,35,36,21,85,6.164403463,181,rice
98,37,35,27,84,6.535181162,180,rice
86,37,43,25,82,6.867040901,287,rice
73,46,40,26,80,7.256656657,190,rice
79,52,42,26,85,5.714384122,208,rice
67,49,37,27,82,6.669540601,192,rice
73,48,40,27,82,6.538141436,198,rice
65,39,37,26,80,6.20380471,242,rice
64,52,40,23,80,7.174175985,230,rice
66,44,41,22,85,5.698456085,294,rice
83,46,40,26,80,6.086185161,273,rice
91,48,39,22,85,6.52404976,277,rice
72,38,36,22,83,7.397885355,284,rice
79,45,38,21,80,7.26798846,193,rice
79,50,41,25,81,6.57800805,291,rice
88,48,36,27,80,6.321083921,232,rice
83,42,37,26,85,7.454528099,224,rice
87,57,39,23,85,6.920268908,280,rice
90,46,37,25,83,7.102295934,285,rice
94,43,41,26,83,5.683238756,223,rice
76,50,39,24,82,6.849905204,271,rice
60,52,40,26,82,6.882300902,247,rice
77,54,41,21,85,7.296323513,239,rice
82,51,43,21,81,7.284929293,253,rice
64,47,36,21,80,6.497970156,198,rice
65,36,37,20,85,6.626250473,265,rice
88,47,39,20,81,6.959571862,187,rice
91,35,40,23,81,6.871140088,205,rice
92,47,44,24,80,6.361706257,234,rice
76,49,41,23,80,7.371866348,236,rice
74,43,38,20,83,6.88848738,290,rice
63,39,44,25,84,6.030256679,297,rice
81,49,38,26,84,7.06156357,215,rice
64,42,38,20,84,6.640824009,225,rice
79,51,44,22,81,7.192680798,282,rice
68,57,39,23,83,5.857833022,229,rice
97,60,41,22,81,6.943227535,265,rice
64,53,40,20,83,5.635181152,237,rice
89,45,45,25,84,5.587987275,208,rice
74,54,44,27,81,5.994991252,300,rice
86,40,36,23,80,6.873561332,223,rice
76,35,41,24,84,5.983188876,204,rice
90,37,44,23,81,6.809906963,253,rice
97,42,44,23,84,7.25352926,288,rice
99,37,44,24,80,5.667005394,260,rice
93,50,36,23,82,7.297277596,279,rice
70,35,44,21,80,5.653362611,190,rice
87,41,41,22,85,6.292979876,298,rice
76,51,36,25,81,7.281901612,241,rice
96,42,40,26,85,6.155100441,283,rice
83,35,39,22,81,6.294744978,296,rice
82,52,42,23,80,7.1717818,291,rice
100,42,40,27,83,6.019529618,219,rice
94,59,36,26,83,7.37704265,217,rice
95,46,37,25,82,5.633581978,282,rice
94,52,38,21,84,6.946489696,192,rice
67,50,36,27,83,6.713383497,276,rice
68,46,39,21,84,6.608531556,286,rice
78,36,44,27,80,5.539907435,286,rice
60,44,38,21,85,7.35346306,256,rice
75,36,41,27,82,5.752938245,237,rice
74,53,38,22,80,6.843102386,221,rice
70,54,37,22,82,6.041135544,207,rice
65,41,36,22,82,5.641615467,300,rice
79,53,39,20,81,5.651968606,241,rice
72,39,40,23,84,6.889207982,201,rice
60,41,42,20,83,6.61751583,180,rice
68,35,37,25,85,6.087888551,232,rice
82,49,43,20,83,5.944927013,288,rice
100,55,44,20,80,6.082185448,287,rice
86,52,41,23,84,6.722020057,225,rice
80,46,44,27,82,7.197362013,189,rice
65,58,38,21,85,5.740507294,294,rice
93,56,40,22,84,6.580198887,251,rice
63,54,39,25,82,6.925618608,283,rice
72,43,40,26,82,5.698842465,275,rice
88,48,40,25,81,5.564741461,196,rice
69,40,40,22,83,6.469151473,295,rice
93,59,38,27,81,7.264312261,183,rice
82,35,41,21,84,6.988085939,294,rice
74,47,43,25,85,5.7707404,296,rice
62,41,38,21,84,7.417408351,182,rice
79,46,35,21,80,5.703650786,270,rice
86,35,39,23,83,6.864074622,257,rice
80,45,45,23,85,6.809106638,199,rice
87,55,37,20,82,5.511736295,272,rice
66,48,37,26,85,6.981764085,243,rice
93,56,43,22,85,7.051938211,215,rice
65,47,43,24,84,6.10040548,181,rice
61,46,36,24,82,6.675060805,263,rice
91,39,43,24,80,5.987312357,274,rice
74,45,45,23,82,6.333164178,280,rice
93,52,41,25,80,5.907513566,243,rice
74,58,39,27,84,5.762015363,246,rice
91,60,45,23,84,7.42740742,300,rice
95,49,36,25,84,6.568535047,207,rice
82,42,39,27,80,6.77442754,221,rice
98,39,37,27,83,5.844473462,245,rice
66,57,37,25,80,7.302193135,180,rice
63,36,39,25,81,7.386137047,233,rice
79,58,44,27,81,5.730008931,242,rice
97,51,38,25,85,6.213715876,248,rice
81,50,45,27,83,7.398084556,291,rice
84,39,39,20,81,6.246725101,220,rice
80,45,38,25,83,6.449189314,264,rice
72,45,43,24,85,7.213921476,296,rice
68,49,40,26,83,6.313699219,266,rice
90,45,37,25,81,6.810048405,246,rice
100,43,44,25,80,6.794223046,216,rice
96,35,36,27,80,6.039869867,204,rice
97,46,36,27,85,6.600512877,189,rice
78,49,44,21,83,5.819223677,300,rice
77,59,38,22,80,7.012288683,186,rice
70,56,38,25,85,6.506574959,215,rice
66,46,40,24,82,5.841713172,226,rice
77,45,35,27,83,5.620223633,188,rice
100,53,37,26,85,7.010702817,189,rice
84,39,41,23,84,6.310818262,187,rice
85,57,37,27,80,6.078301926,280,rice
83,35,39,22,83,6.300611829,243,rice
66,52,38,22,81,6.933781127,276,rice
86,59,39,22,82,6.757217303,190,rice
95,42,39,26,83,6.922014028,204,rice
99,39,40,24,81,7.024161887,199,rice
67,47,37,23,83,5.846906474,261,rice
94,53,41,20,84,6.121649912,205,rice
97,42,41,24,82,7.275710007,216,rice
60,45,35,27,81,7.292894798,198,rice
88,43,40,21,82,7.382924634,267,rice
73,46,42,24,80,6.040047358,229,rice
86,38,40,25,80,5.654208065,290,rice
97,44,42,26,81,6.225803794,255,rice
74,58,44,26,82,5.609767667,281,rice
81,45,43,20,82,6.51166059,180,rice
98,59,37,26,82,7.189807497,182,rice
71,58,45,24,81,7.287437466,252,rice
62,60,43,22,82,7.361921762,287,rice
97,44,45,24,83,7.415587491,270,rice
98,49,40,24,85,6.22878581,222,rice
97,59,45,27,84,6.194216099,292,rice
99,36,42,21,80,6.216577007,228,rice
71,57,39,26,85,5.517024267,180,rice
94,38,40,23,83,6.057780537,257,rice
88,51,36,24,82,5.666937157,295,rice
61,56,40,23,84,6.141839567,273,rice
61,49,35,27,80,5.537563345,271,rice
64,54,35,22,84,7.441351798,237,rice
87,56,42,23,82,7.289193901,236,rice
87,36,37,20,82,5.627799986,222,rice
65,52,38,27,80,5.68096124,284,rice
72,38,40,25,85,6.707704127,257,rice
82,54,35,22,84,6.862537975,292,rice
62,50,42,23,85,7.259019618,191,rice
94,46,45,23,85,6.280992404,242,rice
81,39,40,23,83,7.465210304,295,rice
68,42,43,23,83,5.566841303,284,rice
69,48,35,26,80,7.321291072,279,rice
65,41,41,24,83,5.834356781,226,rice
98,53,41,25,83,6.859654434,293,rice
86,53,41,22,85,6.341107595,296,rice
79,44,39,27,85,6.941072537,231,rice
69,51,43,24,85,7.062313736,191,rice
80,40,35,23,80,5.847520561,202,rice
80,40,41,27,85,7.436336168,188,rice
92,36,44,23,80,6.836516643,196,rice
97,37,39,21,84,6.597654452,282,rice
93,58,39,20,80,6.249296377,185,rice
78,45,45,26,81,6.75376253,244,rice
65,58,40,20,85,5.840421001,189,rice
98,44,39,20,81,6.323014249,268,rice
89,38,41,24,83,6.961038348,264,rice
63,58,38,24,82,7.26611323,259,rice
83,44,43,27,80,6.992188524,284,rice
73,45,39,20,81,6.089137165,271,rice
63,45,40,27,83,6.714385192,185,rice
90,49,44,26,81,6.415694216,292,rice
66,36,42,21,85,6.144899853,281,rice
78,59,44,23,80,6.689863995,217,rice
98,51,39,27,82,7.28461064,246,rice
92,43,43,22,80,6.997084787,282,rice
63,60,36,26,82,5.736989356,275,rice
64,57,39,27,83,7.481888106,204,rice
60,59,36,20,83,6.485414335,251,rice
69,45,40,25,81,7.403890972,199,rice
70,43,45,27,84,6.511753671,296,rice
96,56,37,21,85,5.800587111,201,rice
85,39,39,22,82,6.918455012,278,rice
74,37,37,20,83,7.353135391,236,rice
65,56,44,24,82,6.280512076,297,rice
88,47,37,21,85,7.444941527,197,rice
62,35,43,24,83,6.466891812,199,rice
88,41,45,22,84,6.230333383,261,rice
88,58,39,25,82,7.305346716,187,rice
71,38,39,24,80,7.205049298,284,rice
91,43,43,21,84,7.160941994,190,rice
65,50,35,22,82,5.703249951,210,rice
60,46,42,22,84,7.198308455,180,rice
98,54,37,20,81,5.794678892,267,rice
75,59,38,21,84,7.364740813,246,rice
70,37,37,21,82,7.448187355,185,rice
70,35,43,25,82,5.709296573,213,rice
76,60,43,27,85,5.645080763,228,rice
78,56,43,20,81,6.175170272,193,rice
77,36,38,24,83,7.148350806,248,rice
72,51,45,22,80,6.338202896,295,rice
96,54,35,26,82,6.035006485,230,rice
87,40,36,23,83,7.307900172,234,rice
80,44,45,23,84,6.848714251,211,rice
91,59,38,21,85,6.88711252,221,rice
91,36,40,21,83,6.302061707,210,rice
85,46,39,24,81,5.621119458,228,rice
71,60,45,26,81,7.109058542,223,rice
91,42,39,22,80,7.042075381,181,rice
89,54,39,20,83,6.982461101,232,rice
83,59,45,22,85,6.287731112,235,rice
63,51,18,25,63,5.935606616,88,maize
76,48,22,23,75,6.501014922,69,maize
70,53,15,26,59,6.032125325,84,maize
97,36,17,20,60,6.924854792,99,maize
68,60,21,23,73,6.460573946,91,maize
81,40,22,23,65,6.202908216,92,maize
97,59,23,26,57,6.757238529,94,maize
68,53,16,26,58,5.527853323,80,maize
97,43,25,23,62,6.111438551,77,maize
87,37,21,23,64,6.982606859,86,maize
87,45,17,20,70,6.443012227,84,maize
80,45,24,27,71,6.170048104,79,maize
99,54,25,25,68,6.029306541,99,maize
86,54,16,21,63,5.615173923,81,maize
94,57,22,26,75,6.130609014,74,maize
76,49,25,23,65,5.817166187,85,maize
74,51,18,23,68,6.594885467,65,maize
82,45,16,26,59,6.555509549,99,maize
80,49,20,24,65,5.726887073,90,maize
95,42,18,27,63,6.94262456,70,maize
66,41,23,25,74,6.71497596,68,maize
81,43,22,25,74,5.771223299,80,maize
83,58,18,26,69,5.810464855,96,maize
87,52,22,22,59,6.57336988,80,maize
71,36,17,22,65,6.042923068,68,maize
90,39,22,22,55,6.59845929,74,maize
81,45,22,22,64,5.694027775,88,maize
83,41,25,27,75,6.104035486,98,maize
90,56,18,23,58,5.830091335,90,maize
77,53,16,22,73,5.882777746,72,maize
91,42,21,24,60,6.279098347,68,maize
70,37,23,26,75,6.129050843,78,maize
82,47,17,26,63,5.539983454,94,maize
100,60,16,25,65,6.21515579,93,maize
94,45,16,20,70,5.623188972,66,maize
94,55,23,23,75,5.597212589,67,maize
77,50,16,25,69,6.049671396,96,maize
92,53,24,21,56,6.634195177,78,maize
69,43,18,24,60,5.789992921,63,maize
79,49,22,22,61,5.684740002,74,maize
82,39,24,26,63,5.799259271,72,maize
88,44,16,24,74,5.688947913,78,maize
64,54,20,26,75,6.793828808,97,maize
88,43,22,20,75,5.555989718,70,maize
79,48,24,26,60,6.429661827,61,maize
88,51,18,21,56,6.126341936,96,maize
83,44,19,22,63,6.342731421,92,maize
94,51,23,23,70,6.694520244,96,maize
76,56,25,22,71,6.767962977,93,maize
72,37,15,24,72,5.824226414,95,maize
62,59,25,24,55,6.830906862,94,maize
66,41,20,22,55,6.702598066,100,maize
68,44,18,20,59,6.086347898,98,maize
72,55,25,26,59,6.306183881,80,maize
78,47,24,22,58,6.817076269,93,maize
74,46,16,20,58,6.915104965,79,maize
76,41,23,23,66,6.979112848,85,maize
75,36,23,26,72,6.945565159,88,maize
92,54,25,21,74,6.971011575,73,maize
63,40,19,27,61,6.074027084,86,maize
87,60,25,22,55,6.737380529,97,maize
65,37,22,26,56,6.969653099,70,maize
94,53,20,27,65,6.546188367,79,maize
84,39,23,21,72,5.570708312,77,maize
66,41,15,23,73,6.552668909,86,maize
84,45,18,25,57,6.521982563,83,maize
80,39,22,20,67,6.196728193,72,maize
97,51,22,21,63,6.868968228,62,maize
76,44,25,26,56,6.121655832,92,maize
99,46,24,27,64,6.632794209,70,maize
84,45,22,27,75,6.481326733,88,maize
94,40,15,22,63,5.913053739,89,maize
64,52,17,26,70,5.903202886,63,maize
68,56,20,24,60,6.667480092,80,maize
94,48,16,27,69,6.422512671,68,maize
61,59,21,27,57,6.493090396,68,maize
89,51,21,25,74,6.021269388,83,maize
84,38,21,27,59,6.834343259,77,maize
79,41,17,25,74,6.264865189,98,maize
87,51,20,22,64,5.684331265,87,maize
87,50,18,21,57,5.541992847,95,maize
61,52,16,22,75,6.705402617,99,maize
88,56,19,26,74,5.98905382,96,maize
77,35,16,20,63,6.914318822,91,maize
72,40,22,21,57,6.456378401,66,maize
89,44,23,23,58,6.919216743,67,maize
81,48,21,26,75,5.779968366,73,maize
93,46,18,21,67,6.956405309,100,maize
60,39,15,26,70,6.047118403,88,maize
66,42,17,27,70,5.502870147,79,maize
100,35,25,24,67,6.35967148,98,maize
69,49,15,27,62,5.826935471,73,maize
73,57,18,21,67,5.681186504,62,maize
70,43,23,20,59,6.502640663,75,maize
76,45,22,24,60,6.832537874,75,maize
91,54,15,24,72,6.4906856,77,maize
70,43,15,23,71,6.913674656,86,maize
82,41,20,24,62,5.972532906,76,maize
93,46,23,21,63,5.610228298,75,maize
88,52,17,23,73,5.802431852,96,maize
60,49,16,26,58,6.576444251,83,maize
80,48,24,25,60,5.815406237,85,maize
76,55,18,27,73,6.736370616,80,maize
94,57,20,27,72,5.952220794,67,maize
63,56,21,25,58,6.955231247,82,maize
80,39,25,22,62,6.592571587,90,maize
97,39,25,26,69,6.96527828,95,maize
99,60,21,23,67,5.549679436,76,maize
67,54,20,21,70,6.690207179,76,maize
64,43,15,20,58,6.565328315,88,maize
60,59,19,26,59,6.653191453,62,maize
92,38,23,21,74,6.118392587,83,maize
70,55,16,24,69,6.778287803,89,maize
91,37,25,26,73,6.059102281,77,maize
92,54,19,20,64,5.817884371,97,maize
83,51,15,21,69,5.750411477,69,maize
84,52,25,22,74,6.220094081,80,maize
93,59,16,26,64,6.784756235,65,maize
83,50,15,22,58,6.037334859,73,maize
78,35,24,27,59,5.925740502,92,maize
97,54,17,27,60,6.670647841,89,maize
64,46,20,26,66,6.418127006,65,maize
97,52,16,20,56,5.58254302,62,maize
70,45,23,25,72,6.753998429,75,maize
91,47,19,20,74,6.760391533,68,maize
77,37,16,21,66,6.918999302,94,maize
71,40,22,22,61,6.954760295,84,maize
85,42,17,24,63,5.902646247,92,maize
94,59,21,23,67,5.838119862,79,maize
87,53,24,20,67,5.96880704,94,maize
94,56,23,27,66,5.663988948,87,maize
95,45,17,21,61,6.251689128,97,maize
93,47,23,20,73,5.92020517,100,maize
70,38,21,24,66,6.777091007,71,maize
76,49,22,27,59,5.733845951,84,maize
64,40,24,21,63,6.599724183,81,maize
100,48,20,25,74,6.343198298,74,maize
60,41,25,25,66,5.680547691,90,maize
88,40,22,26,67,5.690072862,74,maize
73,38,25,24,62,6.187828268,83,maize
79,49,24,24,71,6.659886788,94,maize
65,52,17,23,60,6.460488206,97,maize
92,52,19,24,56,6.101219651,70,maize
79,46,22,24,63,5.782550215,72,maize
65,49,21,26,67,5.737246288,63,maize
100,41,21,24,61,5.877359513,60,maize
88,46,25,22,67,6.118159764,86,maize
93,35,16,23,69,6.683608672,63,maize
68,39,18,22,72,6.337394756,95,maize
77,48,16,27,64,6.89004587,91,maize
92,46,22,27,64,6.631414132,66,maize
65,37,20,23,71,6.945566801,93,maize
81,59,25,25,71,5.73995672,72,maize
85,59,24,22,71,6.098484087,100,maize
67,42,19,27,61,6.009302618,84,maize
81,42,23,21,58,5.767016135,81,maize
79,47,19,21,59,5.574440354,79,maize
91,49,24,22,63,5.865750897,70,maize
64,51,17,24,71,5.692750522,74,maize
97,60,18,25,62,6.57567811,65,maize
65,45,18,23,68,6.626709522,74,maize
87,58,20,27,55,5.578955893,92,maize
74,52,20,22,67,5.799405392,90,maize
